BOAT 663381 224128 0 0 14000 10 4 30 255 153 153 "Bjarni Sæmundsson"
STAT 668 2 0 665883 182779 665485 182796 86 21  #   \\ botndypi_kastad= 200 botndypi_hift= 200 \\
STAT 668 1 0 664907 182871 664999 181887 2481 25  #   \\ botndypi_kastad= 243 botndypi_hift= 247 \\
STAT 668 12 0 664492 181514 664180 182141 204 26  #   \\ botndypi_kastad= 284 botndypi_hift= 202 \\
STAT 668 3 0 663918 181071 663811 180109 826 19  #   \\ botndypi_kastad= 182 botndypi_hift= 139 \\
STAT 668 14 0 663510 180658 663700 181539 262 13  #   \\ botndypi_kastad= 74 botndypi_hift= 109 \\
STAT 618 3 0 662992 182173 662594 182227 345 17  #   \\ botndypi_kastad= 158 botndypi_hift= 105 \\
STAT 618 12 0 662685 180744 662393 181418 347 12  #   \\ botndypi_kastad= 72 botndypi_hift= 75 \\
STAT 618 11 0 662406 182710 662004 182704 617 18  #   \\ botndypi_kastad= 141 botndypi_hift= 189 \\
STAT 618 2 0 661825 182375 661502 181807 579 20  #   \\ botndypi_kastad= 178 botndypi_hift= 175 \\
STAT 568 1 0 655812 181624 660168 182054 657 14  #   \\ botndypi_kastad= 102 botndypi_hift= 113 \\
STAT 618 13 0 660923 182452 660544 182157 47 16  #   \\ botndypi_kastad= 138 botndypi_hift= 105 \\
STAT 617 11 0 661371 174491 660983 174276 320 19  #   \\ botndypi_kastad= 157 botndypi_hift= 213 \\
STAT 617 1 0 661131 172623 660805 173181 220 19  #   \\ botndypi_kastad= 163 botndypi_hift= 177 \\
STAT 617 36 0 660199 173575 660237 173100 66 13  #   \\ botndypi_kastad= 95 botndypi_hift= 97 \\
STAT 617 13 0 661077 172222 661462 171929 583 17  #   \\ botndypi_kastad= 125 botndypi_hift= 171 \\
STAT 616 11 0 661578 164825 661850 164106 217 21  #   \\ botndypi_kastad= 195 botndypi_hift= 200 \\
STAT 616 1 0 662176 164204 662573 164280 754 16  #   \\ botndypi_kastad= 133 botndypi_hift= 103 \\
STAT 617 3 0 662698 172608 662698 173601 398 26  #   \\ botndypi_kastad= 226 botndypi_hift= 336 \\
STAT 617 12 0 661918 172988 661519 172995 165 24  #   \\ botndypi_kastad= 232 botndypi_hift= 216 \\
STAT 617 2 0 662035 174247 662393 174674 664 19  #   \\ botndypi_kastad= 176 botndypi_hift= 154 \\
STAT 618 14 0 662233 184857 662553 185456 35 38  #  Drulla, skolað úr \\ botndypi_kastad= 415 botndypi_hift= 410 \\
STAT 619 4 0 662403 190492 662013 190311 1397 22  #   \\ botndypi_kastad= 209 botndypi_hift= 221 \\
STAT 619 12 0 661511 190882 661115 190996 432 14  #   \\ botndypi_kastad= 111 botndypi_hift= 84 \\
STAT 619 14 0 661996 191415 662004 192410 1369 18  #   \\ botndypi_kastad= 128 botndypi_hift= 201 \\
STAT 619 2 0 661773 193710 662169 193782 1786 21  #  Rusl var skrifborðsstóll \\ botndypi_kastad= 172 botndypi_hift= 223 \\
STAT 619 11 0 660746 193791 660525 194604 50 16  #   \\ botndypi_kastad= 121 botndypi_hift= 135 \\
STAT 619 13 0 660317 194756 660009 195381 336 15  #   \\ botndypi_kastad= 141 botndypi_hift= 75 \\
STAT 569 11 0 655981 195001 655602 194706 71 14  #   \\ botndypi_kastad= 114 botndypi_hift= 76 \\
STAT 569 35 0 655711 193353 655449 193001 125 14  #   \\ botndypi_kastad= 102 botndypi_hift= 106 \\
STAT 619 15 0 660912 195073 660532 195372 75 18  #   \\ botndypi_kastad= 152 botndypi_hift= 164 \\
